Date,Time (PST),Topic,Duration
2024-11-04,08:00 - 09:20,What is a Package? Package Structure and State,80 min
2024-11-04,09:20 - 09:35,Break,15 min
2024-11-04,09:35 - 10:55,Package Creation and Metadata,80 min
2024-11-04,10:55 - 11:10,Break,15 min
2024-11-04,11:10 - 12:30,Documentation,80 min
2024-11-05,08:00 - 09:20,Testing & Dependencies,80 min
2024-11-05,09:20 - 09:35,Break,15 min
2024-11-05,09:35 - 10:55,Continuous Integration & Design Principles,80 min
2024-11-05,10:55 - 11:10,Break,15 min
2024-11-05,11:10 - 12:30,Design Principles,80 min
2024-11-06,08:00 - 09:20,Website Creation & Using the Tidyverse in Your Package,80 min
2024-11-06,09:20 - 09:35,Break,15 min
2024-11-06,09:35 - 10:55,Using the Tidyverse in Your Package part 2,80 min
2024-11-06,10:55 - 11:10,Break,15 min
2024-11-06,11:10 - 12:30,Communicating with your Users, Distribution & General Discussion,80 min
